Criado como novo conjunto de dados;Amostra 269 por fsouto data terça-feira, março 25 2025
cm-1;A
4000,00;0,0018
3999,00;0,0018
3998,00;0,0018
3997,00;0,0018
3996,00;0,0018
3995,00;0,0018
3994,00;0,0017
3993,00;0,0017
3992,00;0,0017
3991,00;0,0018
3990,00;0,0018
3989,00;0,0018
3988,00;0,0018
3987,00;0,0018
3986,00;0,0018
3985,00;0,0018
3984,00;0,0018
3983,00;0,0018
3982,00;0,0018
3981,00;0,0017
3980,00;0,0017
3979,00;0,0017
3978,00;0,0017
3977,00;0,0018
3976,00;0,0018
3975,00;0,0017
3974,00;0,0017
3973,00;0,0017
3972,00;0,0017
3971,00;0,0017
3970,00;0,0018
3969,00;0,0018
3968,00;0,0018
3967,00;0,0018
3966,00;0,0018
3965,00;0,0018
3964,00;0,0018
3963,00;0,0018
3962,00;0,0017
3961,00;0,0017
3960,00;0,0017
3959,00;0,0017
3958,00;0,0018
3957,00;0,0018
3956,00;0,0018
3955,00;0,0018
3954,00;0,0017
3953,00;0,0017
3952,00;0,0017
3951,00;0,0017
3950,00;0,0017
3949,00;0,0017
3948,00;0,0017
3947,00;0,0017
3946,00;0,0017
3945,00;0,0017
3944,00;0,0018
3943,00;0,0018
3942,00;0,0017
3941,00;0,0017
3940,00;0,0017
3939,00;0,0017
3938,00;0,0017
3937,00;0,0017
3936,00;0,0017
3935,00;0,0017
3934,00;0,0017
3933,00;0,0017
3932,00;0,0017
3931,00;0,0017
3930,00;0,0017
3929,00;0,0018
3928,00;0,0018
3927,00;0,0018
3926,00;0,0018
3925,00;0,0018
3924,00;0,0018
3923,00;0,0018
3922,00;0,0017
3921,00;0,0017
3920,00;0,0017
3919,00;0,0017
3918,00;0,0017
3917,00;0,0017
3916,00;0,0018
3915,00;0,0018
3914,00;0,0018
3913,00;0,0018
3912,00;0,0018
3911,00;0,0017
3910,00;0,0017
3909,00;0,0017
3908,00;0,0018
3907,00;0,0018
3906,00;0,0017
3905,00;0,0017
3904,00;0,0017
3903,00;0,0017
3902,00;0,0017
3901,00;0,0017
3900,00;0,0017
3899,00;0,0018
3898,00;0,0018
3897,00;0,0018
3896,00;0,0018
3895,00;0,0017
3894,00;0,0017
3893,00;0,0018
3892,00;0,0018
3891,00;0,0018
3890,00;0,0018
3889,00;0,0017
3888,00;0,0017
3887,00;0,0017
3886,00;0,0017
3885,00;0,0016
3884,00;0,0017
3883,00;0,0017
3882,00;0,0017
3881,00;0,0017
3880,00;0,0017
3879,00;0,0017
3878,00;0,0017
3877,00;0,0017
3876,00;0,0017
3875,00;0,0017
3874,00;0,0017
3873,00;0,0017
3872,00;0,0017
3871,00;0,0017
3870,00;0,0017
3869,00;0,0017
3868,00;0,0017
3867,00;0,0017
3866,00;0,0017
3865,00;0,0017
3864,00;0,0017
3863,00;0,0017
3862,00;0,0017
3861,00;0,0017
3860,00;0,0017
3859,00;0,0017
3858,00;0,0017
3857,00;0,0018
3856,00;0,0017
3855,00;0,0017
3854,00;0,0017
3853,00;0,0017
3852,00;0,0017
3851,00;0,0017
3850,00;0,0017
3849,00;0,0017
3848,00;0,0017
3847,00;0,0016
3846,00;0,0016
3845,00;0,0016
3844,00;0,0016
3843,00;0,0017
3842,00;0,0017
3841,00;0,0017
3840,00;0,0017
3839,00;0,0018
3838,00;0,0018
3837,00;0,0018
3836,00;0,0018
3835,00;0,0018
3834,00;0,0018
3833,00;0,0018
3832,00;0,0018
3831,00;0,0017
3830,00;0,0017
3829,00;0,0017
3828,00;0,0017
3827,00;0,0017
3826,00;0,0017
3825,00;0,0017
3824,00;0,0017
3823,00;0,0017
3822,00;0,0017
3821,00;0,0017
3820,00;0,0017
3819,00;0,0017
3818,00;0,0017
3817,00;0,0018
3816,00;0,0018
3815,00;0,0017
3814,00;0,0017
3813,00;0,0017
3812,00;0,0017
3811,00;0,0017
3810,00;0,0017
3809,00;0,0017
3808,00;0,0017
3807,00;0,0017
3806,00;0,0017
3805,00;0,0017
3804,00;0,0017
3803,00;0,0017
3802,00;0,0017
3801,00;0,0017
3800,00;0,0017
3799,00;0,0017
3798,00;0,0017
3797,00;0,0017
3796,00;0,0017
3795,00;0,0017
3794,00;0,0017
3793,00;0,0017
3792,00;0,0017
3791,00;0,0017
3790,00;0,0017
3789,00;0,0017
3788,00;0,0017
3787,00;0,0017
3786,00;0,0017
3785,00;0,0017
3784,00;0,0017
3783,00;0,0017
3782,00;0,0017
3781,00;0,0017
3780,00;0,0017
3779,00;0,0017
3778,00;0,0017
3777,00;0,0017
3776,00;0,0017
3775,00;0,0017
3774,00;0,0017
3773,00;0,0017
3772,00;0,0017
3771,00;0,0017
3770,00;0,0017
3769,00;0,0017
3768,00;0,0017
3767,00;0,0017
3766,00;0,0017
3765,00;0,0017
3764,00;0,0017
3763,00;0,0017
3762,00;0,0017
3761,00;0,0017
3760,00;0,0017
3759,00;0,0017
3758,00;0,0017
3757,00;0,0017
3756,00;0,0017
3755,00;0,0017
3754,00;0,0017
3753,00;0,0017
3752,00;0,0017
3751,00;0,0016
3750,00;0,0016
3749,00;0,0016
3748,00;0,0017
3747,00;0,0018
3746,00;0,0018
3745,00;0,0018
3744,00;0,0017
3743,00;0,0017
3742,00;0,0016
3741,00;0,0016
3740,00;0,0016
3739,00;0,0016
3738,00;0,0016
3737,00;0,0016
3736,00;0,0016
3735,00;0,0016
3734,00;0,0017
3733,00;0,0017
3732,00;0,0017
3731,00;0,0017
3730,00;0,0017
3729,00;0,0017
3728,00;0,0017
3727,00;0,0017
3726,00;0,0017
3725,00;0,0017
3724,00;0,0017
3723,00;0,0017
3722,00;0,0018
3721,00;0,0018
3720,00;0,0018
3719,00;0,0017
3718,00;0,0017
3717,00;0,0017
3716,00;0,0017
3715,00;0,0017
3714,00;0,0017
3713,00;0,0017
3712,00;0,0017
3711,00;0,0018
3710,00;0,0018
3709,00;0,0018
3708,00;0,0018
3707,00;0,0018
3706,00;0,0018
3705,00;0,0018
3704,00;0,0018
3703,00;0,0019
3702,00;0,0019
3701,00;0,0019
3700,00;0,0019
3699,00;0,0019
3698,00;0,0019
3697,00;0,0019
3696,00;0,0019
3695,00;0,0019
3694,00;0,0019
3693,00;0,0019
3692,00;0,0019
3691,00;0,0019
3690,00;0,0019
3689,00;0,0019
3688,00;0,0019
3687,00;0,0019
3686,00;0,0019
3685,00;0,0019
3684,00;0,0019
3683,00;0,0019
3682,00;0,0019
3681,00;0,0019
3680,00;0,0019
3679,00;0,0020
3678,00;0,0020
